Timestamp,Temperature (C),Current (A),Voltage (V),I_Output (%),U_Output (%)
2025-01-07 08:20:53,1.45,0.77,5.84,100.00,95.21
2025-01-07 08:20:53,8.68,1.27,26.15,80.31,39.03
2025-01-07 08:20:54,15.91,1.41,27.85,74.46,28.62
2025-01-07 08:20:54,23.14,1.46,27.90,73.14,22.76
2025-01-07 08:20:55,30.37,1.48,27.61,73.34,19.95
2025-01-07 08:20:55,37.59,1.47,27.47,75.09,19.11
2025-01-07 08:20:56,44.82,1.47,27.00,76.32,21.05
2025-01-07 08:20:56,52.05,1.46,26.91,78.06,21.53
2025-01-07 08:20:57,59.28,1.46,26.81,79.29,22.37
2025-01-07 08:20:57,66.51,1.46,26.77,80.52,22.65
2025-01-07 08:20:58,72.29,1.47,26.91,81.23,22.57
2025-01-07 08:20:58,72.28,1.48,27.19,81.94,20.83
2025-01-07 08:20:59,72.28,1.48,27.43,83.15,19.51
2025-01-07 08:21:00,72.27,1.48,27.14,84.37,20.56
2025-01-07 08:21:00,72.27,1.47,27.00,86.11,21.05
2025-01-07 08:21:01,72.26,1.47,26.77,87.33,22.22
2025-01-07 08:21:01,72.26,1.47,26.86,88.54,21.52
2025-01-07 08:21:02,72.26,1.47,26.91,89.77,21.64
2025-01-07 08:21:02,72.25,1.46,26.91,91.51,21.61
2025-01-07 08:21:03,72.25,1.48,27.43,91.71,18.77
2025-01-07 08:21:03,72.24,1.37,18.33,98.65,75.52
2025-01-07 08:21:04,72.24,1.19,10.65,100.00,100.00
2025-01-07 08:21:04,72.24,1.07,7.35,100.00,88.42
2025-01-07 08:21:05,72.23,0.95,5.28,100.00,97.75
2025-01-07 08:21:05,72.23,0.83,3.86,100.00,100.00
2025-01-07 08:21:06,72.22,0.72,2.87,100.00,100.00
2025-01-07 08:21:06,72.22,0.62,2.17,100.00,100.00
2025-01-07 08:21:07,72.22,0.51,1.65,100.00,100.00
2025-01-07 08:21:07,72.21,0.42,1.27,100.00,100.00
2025-01-07 08:21:08,72.21,0.33,0.99,100.00,100.00
2025-01-07 08:21:09,72.20,0.26,0.75,100.00,100.00
2025-01-07 08:21:09,72.20,0.21,0.61,100.00,100.00
2025-01-07 08:21:10,72.19,0.16,0.52,100.00,100.00
2025-01-07 08:21:10,72.19,0.13,0.42,100.00,100.00
2025-01-07 08:21:11,72.19,0.72,22.57,100.00,47.62
2025-01-07 08:21:11,72.18,1.08,27.00,100.00,35.32
2025-01-07 08:21:12,72.18,1.27,28.09,100.00,24.89
2025-01-07 08:21:12,72.18,1.36,27.57,100.00,22.68
2025-01-07 08:21:13,72.18,1.40,27.19,100.00,21.61
2025-01-07 08:21:13,72.18,1.43,27.10,100.00,21.37
2025-01-07 08:21:14,72.18,1.45,27.14,100.00,20.72
2025-01-07 08:21:14,72.17,1.47,26.95,100.00,21.92
2025-01-07 08:21:15,72.17,1.48,26.72,100.00,23.82
2025-01-07 08:21:15,72.17,1.49,26.81,100.00,23.64
2025-01-07 08:21:16,72.16,1.49,26.81,100.00,24.18
2025-01-07 08:21:16,72.16,1.58,25.16,100.00,36.45
2025-01-07 08:21:17,72.16,1.81,25.26,91.87,50.23
2025-01-07 08:21:18,72.16,1.98,24.83,83.63,65.33
2025-01-07 08:21:18,72.15,2.09,24.83,77.96,76.97
2025-01-07 08:21:19,72.14,2.15,24.08,74.88,97.77
2025-01-07 08:21:19,72.14,2.18,23.84,73.33,100.00
2025-01-07 08:21:20,72.14,2.21,24.08,71.79,100.00
2025-01-07 08:21:20,72.13,2.25,24.22,70.24,100.00
2025-01-07 08:21:21,72.13,2.25,24.27,70.24,100.00
2025-01-07 08:21:21,72.13,2.25,23.14,70.24,100.00
2025-01-07 08:21:22,72.12,2.25,22.76,70.24,100.00
2025-01-07 08:21:22,72.12,2.23,21.72,70.76,100.00
2025-01-07 08:21:23,72.12,2.25,22.85,70.24,100.00
2025-01-07 08:21:23,72.12,2.26,23.80,69.73,100.00
2025-01-07 08:21:24,72.12,2.25,23.23,70.24,100.00
2025-01-07 08:21:24,72.11,2.23,22.57,70.76,100.00
2025-01-07 08:21:25,72.11,2.27,25.31,69.21,100.00
2025-01-07 08:21:25,72.11,2.22,38.59,71.27,100.00
2025-01-07 08:21:26,72.11,2.18,44.81,73.33,55.02
2025-01-07 08:21:27,72.10,1.88,35.72,88.26,18.61
2025-01-07 08:21:27,72.10,1.71,29.83,97.02,18.93
2025-01-07 08:21:28,72.10,1.64,26.48,100.00,28.62
2025-01-07 08:21:28,72.10,1.82,25.21,91.35,47.14
2025-01-07 08:21:29,72.10,1.98,25.78,83.63,55.82
2025-01-07 08:21:29,72.09,2.09,25.68,77.96,66.00
2025-01-07 08:21:30,72.09,2.16,26.01,74.36,70.94
2025-01-07 08:21:30,72.09,2.20,26.11,72.30,73.43
2025-01-07 08:21:31,72.08,2.22,26.11,71.27,77.01
2025-01-07 08:21:31,72.08,2.23,25.26,70.76,86.61
2025-01-07 08:21:32,72.08,2.23,25.07,70.76,97.18
2025-01-07 08:21:32,72.07,2.27,25.26,69.21,100.00
2025-01-07 08:21:33,72.07,2.27,24.27,69.21,100.00
2025-01-07 08:21:33,72.07,2.26,24.03,69.73,100.00
2025-01-07 08:21:34,72.06,2.26,23.66,69.73,100.00
2025-01-07 08:21:34,72.06,2.26,24.08,69.73,100.00
2025-01-07 08:21:35,72.06,2.22,34.87,71.27,100.00
2025-01-07 08:21:36,72.06,2.10,40.24,77.45,21.65
2025-01-07 08:21:36,72.05,1.82,31.90,91.35,17.62
2025-01-07 08:21:37,72.05,1.67,28.51,99.08,19.53
2025-01-07 08:21:37,72.05,1.59,27.33,100.00,21.14
2025-01-07 08:21:38,72.05,1.56,26.25,100.00,26.71
2025-01-07 08:21:38,72.04,1.64,25.92,100.00,32.83
2025-01-07 08:21:39,72.04,1.72,26.39,96.50,34.14
2025-01-07 08:21:39,72.04,1.79,26.01,92.90,39.46
2025-01-07 08:21:40,72.04,1.87,28.42,88.78,29.17
2025-01-07 08:21:40,72.03,1.85,26.86,89.81,34.64
2025-01-07 08:21:41,72.03,1.83,27.19,90.84,31.45
2025-01-07 08:21:41,72.03,1.91,26.01,87.23,44.36
2025-01-07 08:21:42,72.03,1.96,25.78,84.66,48.20
2025-01-07 08:21:42,72.02,2.00,25.63,82.60,52.54
2025-01-07 08:21:43,72.02,2.08,26.58,78.48,54.95
2025-01-07 08:21:43,72.02,2.12,27.05,76.42,54.41
2025-01-07 08:21:44,72.01,2.14,27.14,75.39,55.38
2025-01-07 08:21:45,72.01,2.16,26.20,74.36,61.35
2025-01-07 08:21:45,72.00,2.19,25.54,72.82,69.86
2025-01-07 08:21:46,72.00,2.21,25.49,71.79,76.43
2025-01-07 08:21:46,72.00,2.23,25.82,70.76,81.70
2025-01-07 08:21:47,72.00,2.28,27.00,68.70,80.97
2025-01-07 08:21:47,72.00,2.28,26.67,68.70,85.90
2025-01-07 08:21:48,71.99,2.27,32.51,69.21,52.21
2025-01-07 08:21:48,71.99,1.96,31.34,84.66,21.01
2025-01-07 08:21:49,71.99,1.75,28.42,94.96,20.93
2025-01-07 08:21:49,71.99,1.63,27.28,100.00,21.78
2025-01-07 08:21:50,71.99,1.57,26.91,100.00,23.02
2025-01-07 08:21:50,71.99,1.54,27.10,100.00,21.86
2025-01-07 08:21:51,71.99,1.52,27.33,100.00,21.10
2025-01-07 08:21:51,71.99,1.49,26.91,100.00,23.12
2025-01-07 08:21:52,71.99,1.49,27.00,100.00,22.65
2025-01-07 08:21:52,71.98,1.49,26.91,100.00,23.22
